15:06:54.142 INFO  Loading /media/hdd/SteamLibrary/steamapps/common/Portal 2/portal2/maps/mp_coop_come_along.bsp
15:06:55.163 INFO  Using 'DStaticPropV9' for sprp version 9
15:06:55.164 WARN  Lump LUMP_CLIPPORTALVERTS is empty
15:06:55.164 WARN  Lump LUMP_DISPINFO is empty
15:06:55.164 WARN  Lump LUMP_DISP_VERTS is empty
15:06:55.164 WARN  Lump LUMP_DISP_TRIS is empty
15:06:55.164 WARN  Lump LUMP_DISP_MULTIBLEND is empty
15:06:55.164 INFO  BSP version: 21
15:06:55.164 INFO  Game: Portal 2
15:06:55.165 INFO  No areaportals to reallocate...
15:06:55.165 INFO  No occluders to reallocate...
15:06:55.336 INFO  1318 (18.3%) exact brushside->origface matches
15:06:55.336 INFO  1/0 (nondisp/disp) original faces left after exact brushside->origface matching
15:06:55.342 INFO  112 (1.6%) partial brushside->origface matches
15:06:55.342 INFO  Writing brushes and planes
15:06:55.371 INFO  Writing displacements
15:06:55.371 INFO  Writing entities
15:06:55.393 INFO  Writing func_details
15:06:55.425 INFO  Writing info_overlays
15:06:55.426 INFO  Writing prop_statics
15:06:55.428 INFO  Writing env_cubemaps
15:06:55.428 INFO  Writing func_ladders
15:06:55.428 INFO  Finished decompiling /media/hdd/SteamLibrary/steamapps/common/Portal 2/portal2/maps/mp_coop_come_along.bsp.
