15:06:54.143 INFO  Loading /media/hdd/SteamLibrary/steamapps/common/Portal 2/portal2/maps/mp_coop_credits.bsp
15:06:54.648 INFO  Using 'DStaticPropV9' for sprp version 9
15:06:54.649 WARN  Lump LUMP_CLIPPORTALVERTS is empty
15:06:54.649 WARN  Lump LUMP_DISPINFO is empty
15:06:54.649 WARN  Lump LUMP_DISP_VERTS is empty
15:06:54.649 WARN  Lump LUMP_DISP_TRIS is empty
15:06:54.649 WARN  Lump LUMP_DISP_MULTIBLEND is empty
15:06:54.649 WARN  Lump LUMP_OVERLAYS is empty
15:06:54.649 WARN  Lump LUMP_OVERLAY_FADES is empty
15:06:54.649 WARN  Lump LUMP_OVERLAY_SYSTEM_LEVELS is empty
15:06:54.649 INFO  BSP version: 21
15:06:54.649 INFO  Game: Portal 2
15:06:54.651 INFO  No areaportals to reallocate...
15:06:54.651 INFO  No occluders to reallocate...
15:06:54.652 INFO  212 (33.7%) exact brushside->origface matches
15:06:54.652 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
15:06:54.653 INFO  6 (1.0%) partial brushside->origface matches
15:06:54.653 INFO  Writing brushes and planes
15:06:54.655 INFO  Writing displacements
15:06:54.655 INFO  Writing entities
15:06:54.660 INFO  Writing func_details
15:06:54.662 INFO  Writing info_overlays
15:06:54.662 INFO  Writing prop_statics
15:06:54.663 INFO  Writing env_cubemaps
15:06:54.663 INFO  Writing func_ladders
15:06:54.663 INFO  Finished decompiling /media/hdd/SteamLibrary/steamapps/common/Portal 2/portal2/maps/mp_coop_credits.bsp.
