15:06:53.870 INFO  Loading /media/hdd/SteamLibrary/steamapps/common/Portal 2/portal2/maps/mp_coop_tbeam_catch_grind_1.bsp
15:06:54.192 INFO  Using 'DStaticPropV9' for sprp version 9
15:06:54.193 WARN  Lump LUMP_CLIPPORTALVERTS is empty
15:06:54.193 WARN  Lump LUMP_DISPINFO is empty
15:06:54.193 WARN  Lump LUMP_DISP_VERTS is empty
15:06:54.193 WARN  Lump LUMP_DISP_TRIS is empty
15:06:54.193 WARN  Lump LUMP_DISP_MULTIBLEND is empty
15:06:54.194 INFO  BSP version: 21
15:06:54.194 INFO  Game: Portal 2
15:06:54.195 INFO  No areaportals to reallocate...
15:06:54.195 INFO  No occluders to reallocate...
15:06:54.209 INFO  1614 (21.6%) exact brushside->origface matches
15:06:54.209 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
15:06:54.214 INFO  144 (1.9%) partial brushside->origface matches
15:06:54.214 INFO  Writing brushes and planes
15:06:54.243 INFO  Writing displacements
15:06:54.243 INFO  Writing entities
15:06:54.258 INFO  Writing func_details
15:06:54.288 INFO  Writing info_overlays
15:06:54.288 INFO  Writing prop_statics
15:06:54.293 INFO  Writing env_cubemaps
15:06:54.293 INFO  Writing func_ladders
15:06:54.293 INFO  Finished decompiling /media/hdd/SteamLibrary/steamapps/common/Portal 2/portal2/maps/mp_coop_tbeam_catch_grind_1.bsp.
