15:06:50.075 INFO  Loading /media/hdd/SteamLibrary/steamapps/common/Portal 2/portal2/maps/mp_coop_tbeam_laser_1.bsp
15:06:50.950 INFO  Using 'DStaticPropV9' for sprp version 9
15:06:50.951 WARN  Lump LUMP_CLIPPORTALVERTS is empty
15:06:50.951 WARN  Lump LUMP_DISPINFO is empty
15:06:50.951 WARN  Lump LUMP_DISP_VERTS is empty
15:06:50.951 WARN  Lump LUMP_DISP_TRIS is empty
15:06:50.951 WARN  Lump LUMP_DISP_MULTIBLEND is empty
15:06:50.952 INFO  BSP version: 21
15:06:50.952 INFO  Game: Portal 2
15:06:50.953 INFO  No areaportals to reallocate...
15:06:50.953 INFO  No occluders to reallocate...
15:06:50.965 INFO  1775 (22.9%) exact brushside->origface matches
15:06:50.965 INFO  0/0 (nondisp/disp) original faces left after exact brushside->origface matching
15:06:50.970 INFO  159 (2.1%) partial brushside->origface matches
15:06:50.970 INFO  Writing brushes and planes
15:06:51.004 INFO  Writing displacements
15:06:51.004 INFO  Writing entities
15:06:51.017 INFO  Writing func_details
15:06:51.047 INFO  Writing info_overlays
15:06:51.048 INFO  Writing prop_statics
15:06:51.053 INFO  Writing env_cubemaps
15:06:51.053 INFO  Writing func_ladders
15:06:51.053 INFO  Finished decompiling /media/hdd/SteamLibrary/steamapps/common/Portal 2/portal2/maps/mp_coop_tbeam_laser_1.bsp.
